CVE_ENT,CVE_MUN,NOM_MUN,Microcuenca
29,022,Acuamanala de Miguel Hidalgo,3
29,001,Amaxac de Guerrero,1
21,015,Amozoc,4
29,002,Apetatitlán de Antonio Carvajal,2
29,005,Apizaco,1
29,003,Atlangatepec,1
21,026,Calpan,5
29,010,Chiautempan,2
21,048,Chiautzingo,6
29,018,Contla de Juan Cuamatzi,2
21,034,Coronango,6
21,041,Cuautlancingo,4
29,009,Cuaxomulco,1
21,060,Domingo Arenas,5
29,012,Españita,6
21,074,Huejotzingo,6
29,014,Hueyotlipan,2
29,015,Ixtacuixtla de Mariano Matamoros,6
21,090,Juan C. Bonilla,5
29,048,La Magdalena Tlaltelulco,3
29,017,Mazatecochco de José María Morelos,4
29,011,Muñoz de Domingo Arenas,1
29,023,Natívitas,6
21,106,Ocoyucan,5
29,024,Panotla,2
29,041,Papalotla de Xicohténcatl,4
21,114,Puebla,4
21,119,San Andrés Cholula,5
29,049,San Damián Texóloc,2
21,122,San Felipe Teotlalcingo,7
29,050,San Francisco Tetlanohcan,2
21,125,San Gregorio Atzompa,5
29,051,San Jerónimo Zacualpan,2
29,052,San José Teacalco,1
29,053,San Juan Huactzinco,2
29,054,San Lorenzo Axocomanitla,3
29,055,San Lucas Tecopilco,1
21,132,San Martín Texmelucan,6
21,134,San Matías Tlalancaleca,7
21,136,San Miguel Xoxtla,6
29,025,San Pablo del Monte,4
21,140,San Pedro Cholula,5
21,143,San Salvador el Verde,7
29,056,Santa Ana Nopalucan,2
29,057,Santa Apolonia Teacalco,2
29,058,Santa Catarina Ayometla,3
29,059,Santa Cruz Quilehtla,3
29,026,Santa Cruz Tlaxcala,1
29,060,Santa Isabel Xiloxoxtla,3
29,027,Tenancingo,4
29,028,Teolocholco,3
29,019,Tepetitla de Lardizábal,6
29,029,Tepeyanco,3
29,031,Tetla de la Solidaridad,1
29,032,Tetlatlahuca,2
21,180,Tlahuapan,7
21,181,Tlaltenango,5
29,033,Tlaxcala,2
29,034,Tlaxco,1
29,035,Tocatlán,1
29,036,Totolac,2
29,038,Tzompantepec,1
29,039,Xaloztoc,1
29,040,Xaltocan,1
29,042,Xicohtzinco,6
29,043,Yauhquemehcan,1
29,044,Zacatelco,3
